station_name=Carlton Ave & Flushing Ave; pagerank=0.7
station_name=Carroll St & Bond St; pagerank=0.7
station_name=Cumberland St & Lafayette Ave; pagerank=0.7
station_name=Flushing Ave & Vanderbilt Ave; pagerank=0.7
station_name=Leonard St & Maujer St; pagerank=0.7
station_name=Atlantic Ave & Furman St; pagerank=0.69
station_name=Columbus Ave & W 72 St; pagerank=0.69
station_name=E 75 St & 3 Ave; pagerank=0.69
station_name=St James Pl & Oliver St; pagerank=0.69
station_name=7 Ave & Central Park South; pagerank=0.68
station_name=Central Park West & W 85 St; pagerank=0.68
station_name=Clinton St & Joralemon St; pagerank=0.68
station_name=E 91 St & 2 Ave; pagerank=0.68
station_name=Hicks St & Montague St; pagerank=0.68
station_name=Pike St & E Broadway; pagerank=0.68
station_name=Riverside Dr & W 78 St; pagerank=0.68
station_name=W 82 St & Central Park West; pagerank=0.68
station_name=1 Ave & E 94 St; pagerank=0.67
station_name=Berkeley Pl & 7 Ave; pagerank=0.67
station_name=E 55 St & 2 Ave; pagerank=0.67
station_name=E 81 St & 2 Ave; pagerank=0.67
station_name=E 84 St & 3 Ave; pagerank=0.67
station_name=Fulton St & Grand Ave; pagerank=0.67
station_name=Harrison St & Hudson St; pagerank=0.67
station_name=Henry St & Atlantic Ave; pagerank=0.67
station_name=Johnson St & Gold St; pagerank=0.67
station_name=Kent Ave & S 11 St; pagerank=0.67
station_name=Madison St & Montgomery St; pagerank=0.67
station_name=Lexington Ave & E 63 St; pagerank=0.66
station_name=Madison St & Clinton St; pagerank=0.66
station_name=McGuinness Blvd & Eagle St; pagerank=0.66
station_name=St James Pl & Pearl St; pagerank=0.66
station_name=W 76 St & Columbus Ave; pagerank=0.66
station_name=5 Ave & E 88 St; pagerank=0.65
station_name=Catherine St & Monroe St; pagerank=0.65
station_name=Central Park West & W 72 St; pagerank=0.65
station_name=Clark St & Henry St; pagerank=0.65
station_name=Columbia St & Rivington St; pagerank=0.65
station_name=Concord St & Bridge St; pagerank=0.65
station_name=Degraw St & Hoyt St; pagerank=0.65
station_name=E 97 St & Madison Ave; pagerank=0.65
station_name=Emerson Pl & Myrtle Ave; pagerank=0.65
station_name=Myrtle Ave & Lewis Ave; pagerank=0.65
station_name=Queens Plaza North & Crescent St; pagerank=0.65
station_name=Stanton St & Mangin St; pagerank=0.65
station_name=Union St & Nevins St; pagerank=0.65
station_name=W 100 St & Broadway; pagerank=0.65
station_name=W 63 St & Broadway; pagerank=0.65
station_name=W 84 St & Broadway; pagerank=0.65
station_name=Warren St & Court St; pagerank=0.65
station_name=Washington Park; pagerank=0.65
station_name=10 St & 5 Ave; pagerank=0.64
station_name=6 Ave & W 33 St; pagerank=0.64
station_name=Avenue D & E 12 St; pagerank=0.64
station_name=Cathedral Pkwy & Broadway; pagerank=0.64
station_name=E 60 St & York Ave; pagerank=0.64
station_name=Front St & Gold St; pagerank=0.64
station_name=Lafayette Ave & Classon Ave; pagerank=0.64
station_name=Montrose Ave & Bushwick Ave; pagerank=0.64
station_name=Pike St & Monroe St; pagerank=0.64
station_name=Schermerhorn St & Court St; pagerank=0.64
station_name=W 88 St & West End Ave; pagerank=0.64
station_name=West End Ave & W 94 St; pagerank=0.64
station_name=3 Ave & E 72 St; pagerank=0.63
station_name=Columbus Ave & W 95 St; pagerank=0.63
station_name=Henry St & Middagh St; pagerank=0.63
station_name=Myrtle Ave & St Edwards St; pagerank=0.63
station_name=Nassau St & Navy St; pagerank=0.63
station_name=Roebling St & N 4 St; pagerank=0.63
station_name=14 St & 5 Ave; pagerank=0.62
station_name=3 Ave & E 71 St; pagerank=0.62
station_name=Baltic St & 5 Ave; pagerank=0.62
station_name=Bergen St & Flatbush Ave; pagerank=0.62
station_name=Cadman Plaza E & Red Cross Pl; pagerank=0.62
station_name=Carroll St & Smith St; pagerank=0.62
station_name=Driggs Ave & N 9 St; pagerank=0.62
station_name=Driggs Ave & N Henry St; pagerank=0.62
station_name=E 66 St & Madison Ave; pagerank=0.62
station_name=E 72 St & Park Ave; pagerank=0.62
station_name=E 76 St & Park Ave; pagerank=0.62
station_name=E 88 St & 1 Ave; pagerank=0.62
station_name=E 89 St & 3 Ave; pagerank=0.62
station_name=Greene Av & Myrtle Av; pagerank=0.62
station_name=Hanson Pl & Ashland Pl; pagerank=0.62
station_name=Henry St & Degraw St; pagerank=0.62
station_name=Pacific St & Nevins St; pagerank=0.62
station_name=Riverside Dr & W 104 St; pagerank=0.62
station_name=Scholes St & Manhattan Ave; pagerank=0.62
station_name=Smith St & 9 St; pagerank=0.62
station_name=W 67 St & Broadway; pagerank=0.62
station_name=West Drive & Prospect Park West; pagerank=0.62
station_name=Willoughby St & Fleet St; pagerank=0.62
station_name=10 Ave & W 28 St; pagerank=0.61
station_name=Adelphi St & Myrtle Ave; pagerank=0.61
station_name=Amsterdam Ave & W 82 St; pagerank=0.61
station_name=Bedford Ave & Bergen St; pagerank=0.61
station_name=Cliff St & Fulton St (Old); pagerank=0.61
station_name=Dean St & Hoyt St; pagerank=0.61
station_name=E 82 St & East End Ave; pagerank=0.61
station_name=Franklin Ave & Myrtle Ave; pagerank=0.61
station_name=Lexington Ave & Classon Ave; pagerank=0.61
station_name=Market St & Cherry St; pagerank=0.61
station_name=5 Ave & 3 St; pagerank=0.6
station_name=E 78 St & 2 Ave; pagerank=0.6
station_name=India St & Manhattan Ave; pagerank=0.6
station_name=Laight St & Hudson St; pagerank=0.6
station_name=Lewis Ave & Kosciuszko St; pagerank=0.6
station_name=Meserole Ave & Manhattan Ave; pagerank=0.6
station_name=Willoughby Ave & Hall St; pagerank=0.6
station_name=Amsterdam Ave & W 125 St; pagerank=0.59
station_name=Banker St & Meserole Ave; pagerank=0.59
station_name=Bayard St & Leonard St; pagerank=0.59
station_name=Boerum St & Broadway; pagerank=0.59
station_name=Butler St & Court St; pagerank=0.59
station_name=Central Ave & Starr Street; pagerank=0.59
station_name=Clermont Ave & Lafayette Ave; pagerank=0.59
station_name=Congress St & Clinton St; pagerank=0.59
station_name=DeKalb Ave & Hudson Ave; pagerank=0.59
station_name=Dean St & Franklin Ave; pagerank=0.59
station_name=Degraw St & Smith St; pagerank=0.59
station_name=E 65 St & 2 Ave; pagerank=0.59
station_name=E 68 St & Madison Ave; pagerank=0.59
station_name=E 77 St & 3 Ave; pagerank=0.59
station_name=E 89 St & York Ave; pagerank=0.59
station_name=East End Ave & E 86 St; pagerank=0.59
station_name=Greenpoint Ave & Manhattan Ave; pagerank=0.59
station_name=Pitt St & Stanton St; pagerank=0.59
station_name=Union St & 4 Ave; pagerank=0.59
station_name=Washington Ave & Greene Ave; pagerank=0.59
station_name=10 St & 7 Ave; pagerank=0.58
station_name=2 Ave & E 72 St; pagerank=0.58
station_name=Carlton Ave & Dean St; pagerank=0.58
station_name=Carroll St & 6 Ave; pagerank=0.58
station_name=E 81 St & 3 Ave; pagerank=0.58
station_name=Kane St & Clinton St; pagerank=0.58
station_name=Prospect Pl & 6 Ave; pagerank=0.58
station_name=W 106 St & Central Park West; pagerank=0.58
station_name=W 74 St & Columbus Ave; pagerank=0.58
station_name=W 78 St & Broadway; pagerank=0.58
